!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
  1   0.0002500000    4.0   '0.5 1 1 0.5'
  2   0.1105640230    4.0   '0.5 -1 -1 0.5'
  3  17.8814500000   10.0   '1.5 -1 1 1.5'
  4  17.9052525205    8.0   '1.5 1 -1 1.5'
  5  66.9392500000    6.0   '1.5 1 -1 0.5'
  6  67.1839924430    8.0   '1.5 -1 1 0.5'
  7  73.1519500000   14.0   '2.5 -1 -1 1.5'
  8  73.3140209410   12.0   '2.5 1 1 1.5'
  9  153.1950000000  10.0   '2.5 1 1 0.5'
 10  153.6875830065  12.0   '2.5 -1 -1 0.5'
 11  157.3943500000  18.0   '3.5 -1 1 1.5'
 12  157.7704866690  16.0   '3.5 1 -1 1.5'
 13  266.8465000000  14.0   '3.5 1 -1 0.5'
 14  267.6614930385  16.0   '3.5 -1 1 0.5'
 15  270.0320500000  22.0   '4.5 -1 -1 1.5'
 16  270.6972756795  20.0   '4.5 1 1 1.5'
 17  408.2272000000  18.0   '4.5 1 1 0.5'
 18  409.4378955255  20.0   '4.5 -1 -1 0.5'
 19  410.7890500000  26.0   '5.5 -1 1 1.5'
 20  411.8172363775  24.0   '5.5 1 -1 1.5'
 21  577.3016500000  22.0   '5.5 1 -1 0.5'
 22  578.9798500000  28.0   '5.5 -1 1 0.5'
 23  579.4369758005  28.0   '6.5 -1 -1 1.5'
 24  580.9000315090  28.0   '6.5 1 1 1.5'
 25  773.9190500000  26.0   '6.5 1 1 0.5'
 26  775.7424500000  28.0   '7.5 -1 1 1.5'
 27  776.1343076660  28.0   '6.5 -1 -1 0.5'
 28  777.7103819265  32.0   '7.5 1 -1 1.5'
 29  997.8668500000  30.0   '7.5 1 -1 0.5'
 30  999.4511000000  32.0   '8.5 -1 -1 1.5'
 31 1000.6862920940  32.0   '7.5 -1 1 0.5'
!NUMBER OF RADIATIVE TRANSITIONS
   83
!TRANS + UPP + LOW + A(s^-1) + FREQ(GHz) + E_u/k(K) + N_HFS
   1    4    3  4.826700e-12      0.7132329750  25.760000  4 
   2    2    1  5.958000e-10      3.3161551333  0.160000  3 
   3    8    7  6.523400e-10      4.8589137250  105.480000  4 
   4    6    5  5.196200e-09      7.3368110000  96.660000  4 
   5   12   11  4.524680e-09     11.2759823000  227.000000  4 
   6   27   26  3.630550e-12     11.7536053667  1116.680000  3 
   7   23   22  8.872240e-12     13.6983047000  833.680000  3 
   8   10    9  1.821520e-08     14.7678165500  221.120000  4 
   9   16   15  1.591760e-08     19.9440959500  389.470000  4 
  10   14   13  4.587550e-08     24.4315950250  385.100000  4 
  11   20   19  4.065860e-08     30.8233260000  592.510000  4 
  12   18   17  9.579450e-08     36.2963482500  589.090000  4 
  13   31   30  6.844970e-11     37.0347468000  1439.760000  3 
  14   19   18  4.445030e-10     40.4987580333  591.030000  3 
  15   24   23  8.588040e-08     43.8618166500  835.780000  4 
  16   22   21  1.767010e-07     50.3105055750  833.020000  4 
  17   28   26  1.597624e-07     58.9973526250  1118.950000  4 
  18   27   25  2.981590e-07     66.4107888500  1116.680000  4 
  19   15   14  5.356140e-09     71.0617449333  388.520000  3 
  20   31   29  4.702890e-07     84.5240010500  1439.760000  4 
  21   20   17  8.325610e-09    107.6256639333  592.510000  3 
  22   24   21  4.322060e-09    107.8778087667  835.780000  3 
  23   11   10  5.676700e-08    111.1170055667  226.450000  3 
  24   28   25  2.874240e-09    113.6616732333  1118.950000  3 
  25   16   13  2.291600e-08    115.4447270667  389.470000  3 
  26   12    9  1.065200e-07    137.1681856667  227.000000  3 
  27    7    6  9.799900e-07    178.9038362000  105.250000  3 
  28    8    5  1.190180e-06    191.1071451333  105.480000  3 
  29    3    2  1.241500e-03    532.7462505667  25.730000  3 
