!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
    1     0.000000000   4.0  '  1   1   1   2 '
    2     0.000666628   2.0  '  1   1   1   1 '
    3     0.007500000   2.0  '  1  -1   1   1 '
    4     0.014346563   4.0  '  1  -1   1   2 '
    5     5.009300000   6.0  '  2  -1   2   3 '
    6     5.010800000   4.0  '  2  -1   2   2 '
    7     5.011697061   2.0  '  2  -1   2   1 '
    8     5.030400000   2.0  '  2   1   2   1 '
    9     5.032527989   4.0  '  2   1   2   2 '
   10     5.036081418   6.0  '  2   1   2   3 '
   11    13.363000000   8.0  '  3   1   3   4 '
   12    13.364600000   6.0  '  3   1   3   3 '
   13    13.365759649   4.0  '  3   1   3   2 '
   14    13.396700000   4.0  '  3  -1   3   2 '
   15    13.398783948   6.0  '  3  -1   3   3 '
   16    13.401741405   8.0  '  3  -1   3   4 '
   17    25.060800000  10.0  '  4  -1   4   5 '
   18    25.062300000   8.0  '  4  -1   4   4 '
   19    25.063596767   6.0  '  4  -1   4   3 '
   20    25.106500000   6.0  '  4   1   4   3 '
   21    25.108569111   8.0  '  4   1   4   4 '
   22    25.111274564  10.0  '  4   1   4   5 '
   23    40.102500000  12.0  '  5   1   5   6 '
   24    40.104100000  10.0  '  5   1   5   5 '
   25    40.105476602   8.0  '  5   1   5   4 '
   26    40.160100000   8.0  '  5  -1   5   4 '
   27    40.162166850  10.0  '  5  -1   5   5 '
   28    40.164631505  12.0  '  5  -1   5   6 '
   29    58.488100000  14.0  '  6  -1   6   7 '
   30    58.489700000  12.0  '  6  -1   6   6 '
   31    58.491125406  10.0  '  6  -1   6   5 '
   32    58.557300000  10.0  '  6   1   6   5 '
   33    58.559370866  12.0  '  6   1   6   6 '
   34    58.561744228  14.0  '  6   1   6   7 '
   35    80.217600000  16.0  '  6   1   7   8 '
   36    80.219200000  14.0  '  6   1   7   7 '
   37    80.220655454  12.0  '  6   1   7   6 '
   38    80.298100000  12.0  '  6  -1   7   6 '
   39    80.300178231  14.0  '  6  -1   7   7 '
   40    80.302486574  16.0  '  6  -1   7   8 '
   41   105.290800000  18.0  '  7  -1   8   9 '
   42   105.292300000  16.0  '  7  -1   8   8 '
   43   105.293773273  14.0  '  7  -1   8   7 '
   44   105.382400000  14.0  '  7   1   8   7 '
   45   105.384487391  16.0  '  7   1   8   8 '
   46   105.386846347  18.0  '  7   1   8   9 '
   47   124.911200000   2.0  '  1  -1   2   1 '
   48   124.911200000   2.0  '  1   1   2   1 '
   49   124.912690948   4.0  '  1  -1   2   2 '
   50   124.912711359   4.0  '  1   1   2   2 '
